,events,woba_value,launch_speed,launch_angle
8931,field_out,0.0,98.1,31.0
8942,double,1.25,105.6,13.0
8945,field_out,0.0,91.8,50.0
8949,field_out,0.0,94.4,-6.0
8958,field_out,0.0,98.3,-22.0
8974,field_out,0.0,101.2,30.0
8992,field_out,0.0,101.1,18.0
9015,field_out,0.0,103.8,-11.0
9025,single,0.9,80.1,7.0
9035,single,0.9,67.0,9.0
9038,double,1.25,101.0,5.0
9061,single,0.9,88.4,19.0
9067,field_out,0.0,87.7,-54.0
9072,field_out,0.0,79.2,-10.0
9079,single,0.9,92.5,8.0
9082,field_out,0.0,84.8,-6.0
9086,field_out,0.0,104.8,-6.0
9105,field_out,0.0,70.7,-13.0
9107,field_out,0.0,95.3,40.0
9114,field_out,0.0,81.5,29.0
9119,field_out,0.0,97.1,14.0
9126,field_out,0.0,83.1,-28.0
9127,home_run,2.0,109.4,23.0
9135,single,0.9,107.4,12.0
9138,single,0.9,94.6,7.0
9150,field_out,0.0,105.3,40.0
9151,field_out,0.0,94.6,21.0
9153,single,0.9,101.6,8.0
9183,single,0.9,92.5,6.0
9186,field_out,0.0,70.7,-16.0
9213,single,0.9,108.9,3.0
9224,home_run,2.0,106.8,30.0
9234,field_out,0.0,93.6,29.0
9238,single,0.9,68.8,-36.0
9256,field_out,0.0,101.4,-34.0
9261,field_out,0.0,90.0,29.0
9266,field_out,0.0,109.9,-3.0
9270,field_out,0.0,97.2,16.0
9286,home_run,2.0,105.8,31.0
9292,single,0.9,81.8,11.0
9308,field_out,0.0,87.7,28.0
9311,field_out,0.0,93.9,41.0
9314,field_out,0.0,60.6,-3.0
9322,single,0.9,107.6,4.0
9333,field_out,0.0,89.5,37.0
9337,field_out,0.0,49.0,32.0
9340,single,0.9,70.7,12.0
9347,field_out,0.0,68.1,-30.0
9351,field_out,0.0,91.3,43.0
9359,single,0.9,59.2,28.0
9364,field_out,0.0,79.8,47.0
9366,field_out,0.0,98.0,36.0
9379,field_out,0.0,100.2,-16.0
9384,field_out,0.0,90.7,48.0
9385,home_run,2.0,101.4,27.0
